Tag,Title,Authors,Month,Year
Harandi_2014_CVPR,Bregman Divergences for Infinite Dimensional Covariance Matrices,"Harandi, Mehrtash and Salzmann, Mathieu and Porikli, Fatih",June,2014
Behl_2014_CVPR,Optimizing Average Precision using Weakly Supervised Data,"Behl, Aseem and Jawahar, C. V. and Pawan Kumar, M.",June,2014
Tierney_2014_CVPR,Subspace Clustering for Sequential Data,"Tierney, Stephen and Gao, Junbin and Guo, Yi",June,2014
Chen_2014_CVPR,Predicting Multiple Attributes via Relative Multi-task Learning,"Chen, Lin and Zhang, Qiang and Li, Baoxin",June,2014
Xie_2014_CVPR,Learning Inhomogeneous FRAME Models for Object Patterns,"Xie, Jianwen and Hu, Wenze and Zhu, Song-Chun and Nian Wu, Ying",June,2014
Premachandran_2014_CVPR,Empirical Minimum Bayes Risk Prediction: How to Extract an Extra Few % Performance from Vision Models with Just Three More Parameters,"Premachandran, Vittal and Tarlow, Daniel and Batra, Dhruv",June,2014
Law_2014_CVPR,Fantope Regularization in Metric Learning,"Law, Marc T. and Thome, Nicolas and Cord, Matthieu",June,2014
Snape_2014_CVPR,Kernel-PCA Analysis of Surface Normals for Shape-from-Shading,"Snape, Patrick and Zafeiriou, Stefanos",June,2014
Nikitidis_2014_CVPR,Merging SVMs with Linear Discriminant Analysis: A Combined Model,"Nikitidis, Symeon and Zafeiriou, Stefanos and Pantic, Maja",June,2014
Zhang_2014_CVPR,Stable Learning in Coding Space for Multi-Class Decoding and Its Extension for Multi-Class Hypothesis Transfer Learning,"Zhang, Bang and Wang, Yi and Wang, Yang and Chen, Fang",June,2014
Marrinan_2014_CVPR,Finding the Subspace Mean or Median to Fit Your Need,"Marrinan, Tim and Ross Beveridge, J. and Draper, Bruce and Kirby, Michael and Peterson, Chris",June,2014
Danelljan_2014_CVPR,Adaptive Color Attributes for Real-Time Visual Tracking,"Danelljan, Martin and Shahbaz Khan, Fahad and Felsberg, Michael and van de Weijer, Joost",June,2014
Sun_2014_CVPR,Local Layering for Joint Motion Estimation and Occlusion Detection,"Sun, Deqing and Liu, Ce and Pfister, Hanspeter",June,2014
Qian_2014_CVPR,Realtime and Robust Hand Tracking from Depth,"Qian, Chen and Sun, Xiao and Wei, Yichen and Tang, Xiaoou and Sun, Jian",June,2014
