A_id,B_id
3284,3993
3287,9008
3290,4040
3290,9807
3299,1866
3299,6099
3302,8187
3302,5329
3302,1687
3302,1951
3305,3914
3305,9242
3305,8745
3308,8077
3311,9209
3311,1657
332,9364
332,2204
3329,6556
3329,9096
3329,8383
3332,7147
3338,8534
3338,1227
3338,6099
3347,8483
335,9667
335,6527
3353,6674
3359,9439
3368,9532
3371,9304
3377,7754
3377,6814
3377,7804
3377,9008
3377,1951
3377,2404
3377,5746
3377,5190
3386,3060
3386,9381
3392,709
3392,1027
3392,7487
3392,7666
3401,3914
3401,8745
3404,4771
3404,3258
3404,4921
3404,4967
3404,2467
3404,886
3404,373
3404,8851
3404,7754
3404,6861
3404,8060
3404,7878
341,1217
341,6125
3413,6467
3413,5347
3413,2439
3416,7795
3419,5347
3425,8634
3425,8349
3425,9008
3431,5922
3431,1027
3434,4355
3437,5879
3437,2947
3437,5002
3437,2667
3437,3271
3437,2467
3437,2124
3437,7902
3437,9704
3437,7218
344,1574
3440,8008
3446,4310
3449,2667
3449,2467
3449,5029
3449,977
3449,1899
3449,8401
3449,9704
3449,8861
3449,7641
3449,9211
3449,7902
347,8184
347,1109
347,1061
3470,7610
3473,9022
3473,8735
3473,7411
3473,7827
3473,856
3473,1227
3473,2657
3473,611
3473,4982
3473,6097
3482,4706
3482,3498
3482,713
3482,3271
3485,3204
3485,3104
3488,2667
3488,2057
3491,9711
3494,273
3497,1582
3497,1920
3497,4771
3497,1658
3497,5040
3497,2574
3497,6330
3497,5543
3497,3309
3497,257
3497,7915
3497,9642
3497,7950
3497,8316
3497,8465
3497,8248
3497,9444
3497,9245
3497,8766
3497,9477
35,1971
35,242
35,8630
35,8509
350,959
3500,5321
3500,7827
3500,6742
3503,504
3506,4845
3506,273
3506,2381
3506,8730
3518,9053
3521,9091
3521,9937
3524,6559
3524,6584
353,6141
353,4785
353,6262
3530,7935
3533,9364
3533,9295
3536,5465
3536,5874
3536,704
3539,3090
3539,3476
3539,3900
3545,5662
359,1640
359,5746
359,8750
359,7137
362,2418
371,6879
371,8412
371,2718
371,3308
371,2719
371,762
371,5268
386,1909
401,446
407,115
407,2381
413,2874
422,3434
422,9292
425,8745
425,1552
425,4830
425,3914
425,6473
425,5620
431,8003
44,3467
44,1474
461,8867
461,7246
464,9095
464,5229
467,2840
47,9845
470,8111
473,8111
473,927
476,681
482,1107
482,499
491,455
491,6686
503,2697
503,2977
503,2461
509,1457
509,1267
521,6303
527,92
533,3914
533,2123
533,5307
533,8111
533,8492
533,8745
536,7871
536,8894
536,9190
536,4251
536,3467
536,1082
536,5689
536,5524
536,874
542,8701
548,187
548,3645
560,3771
563,1866
563,5742
563,3436
566,2194
566,3031
566,8881
569,728
578,1108
578,9543
593,446
602,6125
611,6260
614,4845
614,7125
62,1449
620,1930
623,1687
623,1951
623,9213
629,5690
629,2336
629,1230
632,6260
632,9624
632,8686
635,774
635,775
635,3810
635,2492
635,1909
644,2416
644,9091
653,1892
653,2686
653,682
653,1817
653,4131
653,2393
653,5647
653,1725
653,843
653,977
653,2237
653,1969
653,1336
653,3771
653,2467
653,4471
653,3371
653,5939
653,329
653,1977
653,7902
653,7216
653,9834
653,9654
653,7007
659,618
659,5432
659,4019
659,5434
659,2646
659,3150
659,1527
659,2038
659,3571
659,1512
659,499
659,5543
659,6149
659,31
659,6255
659,3252
659,273
659,2210
659,5311
659,4771
659,5259
659,4111
659,5260
659,6530
659,9624
659,7487
659,7188
659,8538
659,9163
659,7517
659,9823
659,8383
659,6870
659,7137
659,9378
659,6933
659,8902
659,9685
659,9659
659,8874
677,6563
680,2652
683,9846
686,6856
686,3896
686,988
686,5497
698,7147
698,1146
701,499
701,519
701,9335
701,8955
707,1503
710,1527
725,7068
731,1534
734,5572
734,736
734,8733
734,9437
740,3073
743,5268
743,3634
743,5597
743,3765
743,1355
746,9292
746,6141
749,4641
749,5473
749,1462
749,9598
749,8791
755,6099
755,1366
755,1866
755,7182
764,1712
764,6260
767,3803
779,2404
779,6478
779,2711
779,9364
779,8059
791,8704
791,6858
791,9807
791,8412
791,6460
791,3946
791,3582
797,5690
797,6099
797,4991
8,298
8,3654
8,1803
8,3022
8,186
8,446
8,7824
8,9456
80,7313
80,2048
80,1977
800,7046
800,8265
800,8131
800,9360
800,8811
800,8535
800,9918
800,7167
800,6930
800,7118
800,8486
800,8349
800,9748
800,837
800,3530
800,2867
800,5135
800,3294
800,5116
800,1090
800,5090
800,5084
800,6631
800,3026
800,2035
800,1775
800,4794
800,375
800,5659
800,1635
800,1081
800,1714
800,2797
800,1920
800,5296
800,3928
800,5582
800,5584
800,3759
800,1733
800,6556
800,3429
800,6132
800,3734
806,5488
806,915
806,8494
809,7896
809,7332
809,8986
809,6481
809,6307
809,1051
815,1204
818,2342
818,3946
818,7003
821,9496
821,9543
821,7091
821,8858
821,8795
821,5331
824,7392
824,8241
824,2711
